"participant_ID","d_score","whichPrime","questionnaire"
"iat-2024-11-05-22-01-17",0.898571864177475,"degree",2.2
"iat-2024-11-05-22-02-10",0.741506915131547,"harvard",2
"iat-2024-11-05-22-13-50",0.509904124129038,"degree",0.6
"iat-2024-11-05-22-29-55",0.204081810552636,"harvard",1.6
"iat-2024-11-05-22-31-58",-0.313375655582104,"harvard",0.7
"iat-2024-11-05-22-33-19",0.521518947808193,"harvard",1.3
"iat-2024-11-05-22-37-14",0.590992921187094,"harvard",1.9
"iat-2024-11-05-22-39-47",-0.0214107579860739,"degree",0.9
"iat-2024-11-11-19-59-03",0.607400151177949,"degree",1.8
"iat-2024-11-11-23-42-47",0.978716270437629,"degree",1.6
"iat-2024-11-11-23-49-40",0.501510849491391,"harvard",1.1
"iat-2024-11-11-23-57-11",-0.80857582127825,"degree",2.6
"iat-2024-11-12-00-09-32",0.936155566253088,"degree",1.3
"iat-2024-11-12-00-10-51",1.29336176993127,"degree",1.1
"iat-2024-11-05-22-01-17",0.898571864177475,"degree",2.2
"iat-2024-11-05-22-02-10",0.741506915131547,"harvard",2
"iat-2024-11-05-22-13-50",0.509904124129038,"degree",0.6
"iat-2024-11-05-22-29-55",0.204081810552636,"harvard",1.6
"iat-2024-11-05-22-31-58",-0.313375655582104,"harvard",0.7
"iat-2024-11-05-22-33-19",0.521518947808193,"harvard",1.3
"iat-2024-11-05-22-37-14",0.590992921187094,"harvard",1.9
"iat-2024-11-05-22-39-47",-0.0214107579860739,"degree",0.9
"iat-2024-11-11-19-59-03",0.607400151177949,"degree",1.8
"iat-2024-11-11-23-42-47",0.978716270437629,"degree",1.6
"iat-2024-11-11-23-49-40",0.501510849491391,"harvard",1.1
"iat-2024-11-11-23-57-11",-0.80857582127825,"degree",2.6
"iat-2024-11-12-00-09-32",0.936155566253088,"degree",1.3
"iat-2024-11-12-00-10-51",1.29336176993127,"degree",1.1
